opportunity,propsId,updatedAt,organization,anonymousProponentName,challengeScore,scenarioScore,priceScore,teamquestions,status,id,updatedAt,versionsId,versionsCreatedAt,totalMaxBudget,minTeamMembers,mandatorySkills,optionalSkills,questionsWeight,codeChallengeWeight,scenarioWeight,priceWeight,orgsId,city,region,country,maxQuestionScore,questionsOppVersion
5e32d776-a4b6-48f3-adb5-8fd6c38462cb,918717a4-edbf-4fec-85cd-96777fb77df6,2020-08-25 01:54:14.139000 +00:00,85f4e9fc-4fc1-4556-a12f-572d9468a655,Proponent 5,,,,64.75,EVALUATED_QUESTIONS,5e32d776-a4b6-48f3-adb5-8fd6c38462cb,2020-09-04 22:15:28.162000 +00:00,168268e9-9198-495a-a9eb-807f00b0d541,2020-08-04 21:01:32.641000 +00:00,650000,,"{Salesforce,Scrum}","{OpenShift,DevOps,HL7}",40,0,50,10,85f4e9fc-4fc1-4556-a12f-572d9468a655,Vancouver,BC,Canada,100,168268e9-9198-495a-a9eb-807f00b0d541
5e32d776-a4b6-48f3-adb5-8fd6c38462cb,81b9e88f-f92b-4fc6-899f-0a5416303c65,2020-09-04 22:15:28.123000 +00:00,445eb43c-71e8-49a1-8878-1bd57f60436a,Proponent 1,100,78.5,89.841415,65.25,NOT_AWARDED,5e32d776-a4b6-48f3-adb5-8fd6c38462cb,2020-09-04 22:15:28.162000 +00:00,168268e9-9198-495a-a9eb-807f00b0d541,2020-08-04 21:01:32.641000 +00:00,650000,,"{Salesforce,Scrum}","{OpenShift,DevOps,HL7}",40,0,50,10,445eb43c-71e8-49a1-8878-1bd57f60436a,Victoria,BC,Canada,100,168268e9-9198-495a-a9eb-807f00b0d541
7551600e-35ef-4bc4-bb02-e9873c457bc9,842e3dd5-6237-45a7-bccf-720a79e2defd,2022-01-29 00:00:02.826000 +00:00,4da82e8b-a429-4d42-be7d-87e08e5cb6fb,Proponent 1,,,,,UNDER_REVIEW_QUESTIONS,7551600e-35ef-4bc4-bb02-e9873c457bc9,2022-01-29 06:07:41.395000 +00:00,69d02b60-a12f-4dbc-a25d-09cbb59f2c13,2022-01-14 16:54:39.141000 +00:00,1000000,4,"{Scrum,Service Design,Solution Architecture,Backend Development,Security Engineering,Delivery Management,Technical Architecture,User Research,DevOps Engineering}","",25,40,25,10,4da82e8b-a429-4d42-be7d-87e08e5cb6fb,Vancouver,BC,Canada,30,69d02b60-a12f-4dbc-a25d-09cbb59f2c13
76d04eca-334f-44b0-ac74-08910851715f,3ee46d8a-0374-4d05-abcf-4794079f9405,2022-06-22 15:45:27.596000 +00:00,19597999-ef73-48d4-ac56-ff125e20a035,Proponent 3,,,,19,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,19597999-ef73-48d4-ac56-ff125e20a035,Calgary,Alberta,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,14ed2852-ecb9-43dd-92ab-f662f237b84e,2022-06-22 15:45:27.596000 +00:00,3f497cb0-1672-4fc3-9c3d-f82621481c30,Proponent 15,,,,16,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,3f497cb0-1672-4fc3-9c3d-f82621481c30,Calgary,Alberta,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,1c4ff7cc-987b-4945-86d3-5176f7992f67,2022-06-22 15:45:27.596000 +00:00,736e06ac-f6cd-4e9e-a504-2fee6a0327c7,Proponent 1,,,,26,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,736e06ac-f6cd-4e9e-a504-2fee6a0327c7,Victoria,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,1fb193bf-8b29-4b2f-887f-1de281aa2824,2022-06-22 15:45:27.596000 +00:00,73064d46-e6a0-4dec-bcf6-d26b10b190fc,Proponent 2,88.17,73.22,97.68638,29,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,73064d46-e6a0-4dec-bcf6-d26b10b190fc,Vancouver,British Columbia,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,3ca97b3c-1fb1-494b-b7f8-01b8ba979525,2022-06-22 15:45:27.596000 +00:00,738a37ce-f6da-4b15-b502-b2153cddf8b7,"",,,,,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,738a37ce-f6da-4b15-b502-b2153cddf8b7,Toronto,Ontario,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,26aa64eb-0d7a-4281-a302-cc0d4296c591,2022-06-22 15:45:27.596000 +00:00,8f38fc5e-b4dd-4ec5-a5a7-633ae85a7680,Proponent 9,,,,19,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,8f38fc5e-b4dd-4ec5-a5a7-633ae85a7680,Sidney,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,fd1189fc-24f9-46ec-b426-5ded2121b2ed,2022-06-22 15:45:27.596000 +00:00,985702ec-4f4a-4598-8f31-573f45bbce6c,Proponent 14,,,,23,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,985702ec-4f4a-4598-8f31-573f45bbce6c,Kamloops,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
